TraceID,SpanID,ParentID,PodName,OperationName,StartTimeUnixNano,EndTimeUnixNano,Duration
329363d974526d4aca94ce3cff172d61,64af50ce5290167b,root,resize-647bf77cb7-r4bnx,resizeImage,1685007001891625903,1685007001913914777,22288
329363d974526d4aca94ce3cff172d61,ec09020c223e2a09,64af50ce5290167b,resize-647bf77cb7-r4bnx,loadImage,1685007001891840247,1685007001913906900,22066
329363d974526d4aca94ce3cff172d61,491333417b9fae4a,ec09020c223e2a09,resize-647bf77cb7-r4bnx,less400,1685007001910121354,1685007001913899415,3778
329363d974526d4aca94ce3cff172d61,9deb253dd518c53d,491333417b9fae4a,resize-647bf77cb7-r4bnx,less400ByteIo,1685007001910177007,1685007001913889200,3712
329363d974526d4aca94ce3cff172d61,6034d9573a1d0468,9deb253dd518c53d,resize-647bf77cb7-r4bnx,less400ImageCovert,1685007001911294883,1685007001913879091,2584
329363d974526d4aca94ce3cff172d61,55ef6d1a253e0df8,6034d9573a1d0468,resize-647bf77cb7-r4bnx,less400ImageEncode,1685007001913657134,1685007001913855543,198
3741f172b7adb7e8a7334f2242952c91,242b4e1e2cdc5962,root,resize-647bf77cb7-r4bnx,resizeImage,1685007001884377833,1685007001918136016,33758
3741f172b7adb7e8a7334f2242952c91,19560f2e57cfaec7,242b4e1e2cdc5962,resize-647bf77cb7-r4bnx,loadImage,1685007001884555932,1685007001918127140,33571
3741f172b7adb7e8a7334f2242952c91,c672fabd52c02a07,19560f2e57cfaec7,resize-647bf77cb7-r4bnx,large400,1685007001908066330,1685007001918119373,10053
3741f172b7adb7e8a7334f2242952c91,8891b63fd35887d8,c672fabd52c02a07,resize-647bf77cb7-r4bnx,large400ImageResize,1685007001908128323,1685007001918112305,9983
3741f172b7adb7e8a7334f2242952c91,cbcbaeac11762ad9,8891b63fd35887d8,resize-647bf77cb7-r4bnx,large400ByteIo,1685007001914981466,1685007001918103074,3121
3741f172b7adb7e8a7334f2242952c91,d70182e51d232947,cbcbaeac11762ad9,resize-647bf77cb7-r4bnx,large400ImageCovert,1685007001915022221,1685007001918093117,3070
3741f172b7adb7e8a7334f2242952c91,73c0b0846eb62ffc,d70182e51d232947,resize-647bf77cb7-r4bnx,large400ImageEncode,1685007001917915770,1685007001918067114,151
9efd6b4cf5ad8d076fb12553c951871e,c50d0afd8bc3b4a7,root,resize-647bf77cb7-r4bnx,resizeImage,1685007005816877952,1685007005853291822,36413
9efd6b4cf5ad8d076fb12553c951871e,b7b5b1ab640744f1,c50d0afd8bc3b4a7,resize-647bf77cb7-r4bnx,loadImage,1685007005817043865,1685007005853284615,36240
